sim_time,trial,phase,gripper_open,ik_status,wrist_x,wrist_y,wrist_z,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,j7_rad,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,j7_deg,obstacle_hits
90.35,2,grip,1,ok,0.69055,-0.1235,1.24115,1.396263,-1.581837,-0.00353,0.785307,-0.138453,0.606626,0.101198,80.0,-90.6326,-0.2023,44.9948,-7.9328,34.7571,5.7982,0
90.4,2,grip,1,ok,0.68969,-0.12322,1.2397,1.396263,-1.587404,-0.005547,0.789228,-0.138794,0.607154,0.101347,80.0,-90.9516,-0.3178,45.2195,-7.9523,34.7874,5.8067,0
90.45,2,grip,1,ok,0.68596,-0.12235,1.23842,1.396263,-1.597961,-0.002573,0.801582,-0.138631,0.608645,0.101482,80.0,-91.5564,-0.1474,45.9272,-7.9429,34.8728,5.8145,0
90.5,2,grip,1,ok,0.68186,-0.12146,1.23732,1.396263,-1.608503,0.001709,0.814598,-0.138325,0.610232,0.101599,80.0,-92.1605,0.0979,46.6731,-7.9254,34.9637,5.8212,0
90.55,2,grip,0,ok,0.67486,-0.12022,1.23685,1.396263,-1.623045,0.013283,0.835094,-0.137317,0.612622,0.101691,80.0,-92.9936,0.7611,47.8473,-7.8677,35.1007,5.8265,0
90.6,2,carry,0,ok,0.6682,-0.11926,1.2367,1.396263,-1.636607,0.026141,0.854692,-0.136156,0.614917,0.10176,80.0,-93.7707,1.4978,48.9702,-7.8012,35.2321,5.8304,0
90.65,2,carry,0,ok,0.663,-0.11843,1.23808,1.396263,-1.642086,0.040491,0.868142,-0.134919,0.616437,0.101818,80.0,-94.0846,2.3199,49.7409,-7.7303,35.3192,5.8338,0
90.7,2,carry,0,ok,0.65892,-0.11778,1.23974,1.396263,-1.644268,0.053619,0.877945,-0.133808,0.617528,0.101875,80.0,-94.2096,3.0721,50.3025,-7.6667,35.3818,5.837,0
90.75,2,carry,0,ok,0.6566,-0.11739,1.24135,1.396263,-1.643104,0.063153,0.882753,-0.133065,0.618063,0.101944,80.0,-94.1429,3.6184,50.578,-7.6241,35.4124,5.841,0
90.8,2,carry,0,ok,0.65513,-0.11714,1.24275,1.396263,-1.64116,0.070337,0.885526,-0.13256,0.618377,0.102026,80.0,-94.0316,4.03,50.7369,-7.5951,35.4304,5.8457,0
90.85,2,carry,0,ok,0.65128,-0.11674,1.24513,1.396263,-1.640629,0.085163,0.89278,-0.13132,0.619105,0.102082,80.0,-94.0011,4.8795,51.1525,-7.5241,35.4721,5.8489,0
