frame,marker_id,distance_m,distance_cm,yaw_deg,pitch_deg,roll_deg,roll_deg_original,roll_deg_cleaned,roll_deg_transformed,is_outlier,motion_phase,difference,rmse
883,2,0.2306,23.06,-170.28,-2.09,-163.56,-163.56,-163.56,90.0,False,movement,253.56,192.1563593708693
884,2,0.2313,23.13,-170.45,-1.93,-164.91,-164.91,-164.91,90.0,False,movement,254.91,192.1563593708693
885,2,0.2587,25.87,-170.89,-2.37,-170.01,-170.01,-170.01,90.0,False,movement,260.01,192.1563593708693
886,2,0.231,23.1,-171.35,-1.83,-165.25,-165.25,-165.25,90.0,False,movement,255.25,192.1563593708693
888,2,0.2331,23.31,-171.29,-0.28,-167.62,-167.62,-167.62,90.0,False,movement,257.62,192.1563593708693
889,2,0.2342,23.42,-171.23,-0.07,-168.85,-168.85,-168.85,90.0,False,movement,258.85,192.1563593708693
936,2,0.2442,24.42,-168.15,29.58,179.33,179.33,179.33,155.0,False,movement,-24.330000000000013,192.1563593708693
951,2,0.2287,22.87,-162.09,3.43,-163.51,-163.51,-163.51,90.0,False,movement,253.51,192.1563593708693
958,2,0.2325,23.25,-161.47,1.69,-163.72,-163.72,-163.72,90.0,False,movement,253.72,192.1563593708693
969,2,0.2365,23.65,-160.09,-38.67,156.01,156.01,156.01,155.0,False,movement,-1.009999999999991,192.1563593708693
970,2,0.2365,23.65,-159.94,-39.89,156.14,156.14,156.14,155.0,False,movement,-1.1399999999999864,192.1563593708693
972,2,0.2381,23.81,-160.95,-41.94,157.58,157.58,157.58,155.0,False,movement,-2.5800000000000125,192.1563593708693
973,2,0.2369,23.69,-160.2,-43.46,156.66,156.66,156.66,155.0,False,movement,-1.6599999999999966,192.1563593708693
974,2,0.2377,23.77,-160.53,-44.4,157.52,157.52,157.52,155.0,False,movement,-2.5200000000000102,192.1563593708693
975,2,0.2376,23.76,-161.0,-45.9,158.07,158.07,158.07,155.0,False,movement,-3.069999999999993,192.1563593708693
976,2,0.2388,23.88,-161.03,-46.53,158.9,158.9,158.9,155.0,False,movement,-3.9000000000000057,192.1563593708693
977,2,0.2381,23.81,-161.78,-48.09,159.84,159.84,159.84,155.0,False,movement,-4.840000000000003,192.1563593708693
979,2,0.2403,24.03,-161.75,-49.56,159.88,159.88,159.88,155.0,False,movement,-4.8799999999999955,192.1563593708693
985,2,0.2429,24.29,-159.57,-57.23,158.14,158.14,158.14,155.0,False,movement,-3.1399999999999864,192.1563593708693
986,2,0.2427,24.27,-159.87,-58.2,158.07,158.07,158.07,155.0,False,movement,-3.069999999999993,192.1563593708693
987,2,0.2454,24.54,-160.3,-57.82,158.32,158.32,158.32,155.0,False,movement,-3.319999999999993,192.1563593708693
988,2,0.2427,24.27,-159.7,-59.81,157.89,157.89,157.89,155.0,False,movement,-2.8899999999999864,192.1563593708693
989,2,0.243,24.3,-159.22,-60.45,157.25,157.25,157.25,155.0,False,movement,-2.25,192.1563593708693
990,2,0.2454,24.54,-157.4,-59.61,154.97,154.97,154.97,155.0,False,movement,0.030000000000001137,192.1563593708693
991,2,0.2444,24.44,-157.01,-61.99,155.91,155.91,155.91,155.0,False,movement,-0.9099999999999966,192.1563593708693
992,2,0.2445,24.45,-156.9,-62.16,156.11,156.11,156.11,155.0,False,movement,-1.1100000000000136,192.1563593708693
996,2,0.245,24.5,-156.47,-61.98,155.32,155.32,155.32,155.0,False,movement,-0.3199999999999932,192.1563593708693
1023,2,0.2414,24.14,-160.11,-48.21,157.04,157.04,157.04,155.0,False,movement,-2.039999999999992,192.1563593708693
1024,2,0.242,24.2,-161.64,-45.0,158.21,158.21,158.21,155.0,False,movement,-3.210000000000008,192.1563593708693
1025,2,0.2425,24.25,-163.69,-42.62,160.18,160.18,160.18,155.0,False,movement,-5.180000000000007,192.1563593708693
1026,2,0.2432,24.32,-165.34,-41.22,161.77,161.77,161.77,155.0,False,movement,-6.77000000000001,192.1563593708693
1027,2,0.239,23.9,-166.2,-39.9,159.64,159.64,159.64,155.0,False,movement,-4.639999999999986,192.1563593708693
1028,2,0.2392,23.92,-167.87,-38.37,161.33,161.33,161.33,155.0,False,movement,-6.3300000000000125,192.1563593708693
1029,2,0.2405,24.05,-168.39,-36.57,162.44,162.44,162.44,155.0,False,movement,-7.439999999999998,192.1563593708693
1030,2,0.2395,23.95,-168.52,-35.54,161.53,161.53,161.53,155.0,False,movement,-6.530000000000001,192.1563593708693
1032,2,0.2379,23.79,-169.43,-32.9,161.65,161.65,161.65,155.0,False,movement,-6.650000000000006,192.1563593708693
1037,2,0.2674,26.74,-172.58,-1.49,-178.68,-178.68,-178.68,90.0,False,movement,268.68,192.1563593708693
1038,2,0.2674,26.74,-172.14,-2.67,-179.26,-179.26,-179.26,90.0,False,movement,269.26,192.1563593708693
1039,2,0.2413,24.13,-172.55,-1.14,-170.67,-170.67,-170.67,90.0,False,movement,260.66999999999996,192.1563593708693
1040,2,0.2422,24.22,-172.76,-2.25,-172.32,-172.32,-172.32,90.0,False,movement,262.32,192.1563593708693
1041,2,0.2412,24.12,-172.68,-1.21,-170.57,-170.57,-170.57,90.0,False,movement,260.57,192.1563593708693
1042,2,0.2437,24.37,-173.28,-0.67,-175.0,-175.0,-175.0,90.0,False,movement,265.0,192.1563593708693
1043,2,0.2428,24.28,-174.59,1.17,-177.08,-177.08,-177.08,90.0,False,endpoint2,267.08000000000004,192.1563593708693
